rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
40,C13orf30,1846,0.9981880352302036,0.04395240172743797,0.042565397918224335,0.43817344804604846,0.06220061594125359,4,1.6537569761276245,1.4080363512039185,0.0,1.4914464950561523,SFTPA2,surfactant protein A2,"This gene is one of several genes encoding pulmonary-surfactant associated proteins (SFTPA) located on chromosome 10. Mutations in this gene and a highly similar gene located nearby, which affect the highly conserved carbohydrate recognition domain, are associated with idiopathic pulmonary fibrosis.",False,0.4
41,PLA2G1B,13516,0.9981831643095996,0.059055205434560776,0.05930108204483986,0.4352585971355438,0.07683101965592898,4,1.6372026205062866,1.3990085124969482,0.0,1.4205552339553833,FAM216B,family with sequence similarity 216 member B,,False,0.0
42,LOC84740,10176,0.9981685515477876,0.0553891621530056,0.055571865290403366,0.43437037368615466,0.06310864414454831,4,1.5239542722702026,1.3356858491897583,0.0,1.5071569681167603,PLA2G1B,phospholipase A2 group IB,"This gene encodes a secreted member of the phospholipase A2 (PLA2) class of enzymes, which is produced by the pancreatic acinar cells. The encoded calcium-dependent enzyme catalyzes the hydrolysis of the sn-2 position of membrane glycerophospholipids to release arachidonic acid (AA) and lysophosphol",False,0.4
43,SFTPD,15901,0.9981101005005397,0.10142593085765839,0.09523845463991165,0.49472953875859577,0.11903914842380248,4,2.3056468963623047,1.7249326705932617,0.0,2.5362393856048584,SFTPD,Unknown,,False,0.0
44,SFTA1P,15894,0.9980954877387278,0.13032031059265137,0.12454533576965332,0.49265792965888977,0.09900917754807681,4,2.364943504333496,1.7505823373794556,0.0,2.414794445037842,SFTPD,surfactant protein D,"The protein encoded by this gene is part of the innate immune response, protecting the lungs against inhaled microorganisms and chemicals. The encoded protein may also be involved in surfactant metabolism. [provided by RefSeq, Jul 2015].",False,0.4
45,SFTPB,15899,0.9980760040563117,0.18843917548656464,0.18012675642967224,0.5505950848261515,0.14476222682517403,4,2.699352741241455,1.887272834777832,0.0,3.818499803543091,SFTA1P,"surfactant associated 1, lncRNA",,False,0.0
46,SFTPC,15900,0.9980565203738958,0.14430613815784454,0.13662192225456238,0.49971617261568707,0.116026381462635,4,2.6265127658843994,1.8585829734802246,0.0,2.3649725914001465,SFTPB,surfactant protein B,"This gene encodes the pulmonary-associated surfactant protein B (SPB), an amphipathic surfactant protein essential for lung function and homeostasis after birth. Pulmonary surfactant is a surface-active lipoprotein complex composed of 90% lipids and 10% proteins which include plasma proteins and apo",False,0.2
47,CXCL17,4477,0.9980516494532918,0.0406162291765213,0.03722762688994408,0.4585612118244171,0.08086559566177542,4,1.6093987226486206,1.38371741771698,0.0,2.147437572479248,SFTPC,surfactant protein C,"This gene encodes the pulmonary-associated surfactant protein C (SPC), an extremely hydrophobic surfactant protein essential for lung function and homeostasis after birth. Pulmonary surfactant is a surface-active lipoprotein complex composed of 90% lipids and 10% proteins which include plasma protei",False,0.2
48,PON3,13792,0.9980467785326879,0.04801604151725769,0.045384813100099564,0.45117267469565075,0.09796316961853258,4,1.540414571762085,1.3450639247894287,0.0,1.9947657585144043,CXCL17,C-X-C motif chemokine ligand 17,"The protein encoded by this gene is a mucosal chemokine that attracts immature dendritic cells and blood monocytes to the lungs. The encoded protein also promotes tumorigenesis through an angiogenic activity. Finally, this protein exhibits strong antimicrobial activity against E. coli, S. aureus, Sa",False,0.4
49,RNASE1,15022,0.9979980693266479,0.0356258898973465,0.03448939323425293,0.4317533274491628,0.05724894231154232,4,1.4020322561264038,1.2642556428909302,0.0,1.550567626953125,PON3,paraoxonase 3,This gene is a member of the paraoxonase family and lies in a cluster on chromosome 7 with the other two family members. The encoded protein is secreted into the bloodstream and associates with high-density lipoprotein (HDL). The protein also rapidly hydrolyzes lactones and can inhibit the oxidation,False,0.2
50,BMP3,1545,0.9979737147236278,0.03950982540845871,0.0405702106654644,0.4539703279733658,0.07456078183322323,4,1.666231632232666,1.414802074432373,0.0,1.9528782367706299,RNASE1,"ribonuclease A family member 1, pancreatic","This gene encodes a member of the pancreatic-type of secretory ribonucleases, a subset of the ribonuclease A superfamily. The encoded endonuclease cleaves internal phosphodiester RNA bonds on the 3'-side of pyrimidine bases. It prefers poly(C) as a substrate and hydrolyzes 2',3'-cyclic nucleotides, ",False,0.2
