rank,gene_id,gene_index,final_score,ig_score,gxi_score,statistical_score,mi_score,consensus,fold_change,log_fold_change,p_value_corrected,cohens_d,gene_symbol,gene_name,gene_summary,is_known_cancer_gene,validation_score
17,MCCD1,10705,0.9434986696793326,0.025215979665517807,0.023218099027872086,0.5790074268976847,0.019411389401027268,4,3.9081268310546875,2.2951724529266357,0.0,3.4620957374572754,SLC39A13,solute carrier family 39 member 13,This gene encodes a member of the LIV-1 subfamily of the ZIP transporter family. The encoded transmembrane protein functions as a zinc transporter. Mutations in this gene have been associated with the spondylocheiro dysplastic form of Ehlers-Danlos syndrome. Alternate transcript variants have been f,False,0.2
18,FOXI1,6615,0.9433947794926464,0.020396672189235687,0.01904498040676117,0.5780154565970103,0.01918515694741285,4,3.6482737064361572,2.2166948318481445,0.0,3.692190170288086,MCCD1,mitochondrial coiled-coil domain 1,"Predicted to be located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]",False,0.0
19,RAP1GAP,14634,0.9432405196625097,0.020000124350190163,0.019133631139993668,0.4677989532550176,0.021979094440746527,4,1.8909022808074951,1.531519889831543,0.0,2.14306640625,FOXI1,forkhead box I1,"This gene belongs to the forkhead family of transcription factors, which is characterized by a distinct forkhead domain. This gene may play an important role in the development of the cochlea and vestibulum, as well as in embryogenesis. The encoded protein has been found to be required for the trans",False,0.2
20,GCGR,6915,0.9432293490694027,0.0213593989610672,0.023133881390094757,0.544312963883082,0.019293277358430005,4,3.045835494995117,2.0164377689361572,0.0,3.2835533618927,RAP1GAP,RAP1 GTPase activating protein,"This gene encodes a type of GTPase-activating-protein (GAP) that down-regulates the activity of the ras-related RAP1 protein. RAP1 acts as a molecular switch by cycling between an inactive GDP-bound form and an active GTP-bound form. The product of this gene, RAP1GAP, promotes the hydrolysis of boun",False,0.4
21,SIM1,16037,0.9420237379088543,0.03139770030975342,0.029083291068673134,0.5841927329699198,0.01923570982172551,4,3.4241342544555664,2.145395278930664,0.0,4.101647853851318,GCGR,glucagon receptor,"The protein encoded by this gene is a glucagon receptor that is important in controlling blood glucose levels. Defects in this gene are a cause of non-insulin-dependent diabetes mellitus (NIDDM).[provided by RefSeq, Jan 2010].",False,0.4
22,ATP6V1A,1250,0.9415335902563821,0.024002771824598312,0.023239148780703545,0.5575722952683767,0.018879605825977697,4,3.710601806640625,2.2359113693237305,0.0,3.0165669918060303,SIM1,SIM bHLH transcription factor 1,SIM1 and SIM2 genes are Drosophila single-minded (sim) gene homologs.  SIM1 transcript was detected only in fetal kidney out of various adult and fetal tissues tested.  Since the sim gene plays an important role in Drosophila development and has peak levels of expression during the period of neuroge,False,0.2
23,SLC4A1,16368,0.9413757165750485,0.03408748656511307,0.0337638333439827,0.6416108806927999,0.018899776406966495,4,4.855454444885254,2.549781084060669,0.0,4.392871856689453,ATP6V1A,ATPase H+ transporting V1 subunit A,"This gene encodes a component of vacuolar ATPase (V-ATPase), a multisubunit enzyme that mediates acidification of eukaryotic intracellular organelles. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, receptor-mediated en",False,0.4
24,PLEKHB2,13587,0.9412034628919537,0.01561967097222805,0.01473237108439207,0.5103020568688711,0.01814503843372095,4,2.6412341594696045,1.8644275665283203,0.0,2.667827606201172,SLC4A1,solute carrier family 4 member 1 (Diego blood group),"The protein encoded by this gene is part of the anion exchanger (AE) family and is expressed in the erythrocyte plasma membrane, where it functions as a chloride/bicarbonate exchanger involved in carbon dioxide transport from tissues to lungs. The protein comprises two domains that are structurally ",False,0.4
25,NNT,11966,0.9400885277609177,0.018594320863485336,0.01806609332561493,0.506760319073995,0.017811788463663714,4,2.6254429817199707,1.8581572771072388,0.0,2.577366590499878,PLEKHB2,pleckstrin homology domain containing B2,"Enables phosphatidylinositol-3,4,5-trisphosphate binding activity. Predicted to be involved in regulation of cell differentiation. Predicted to be located in recycling endosome membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,0.2
26,SH3PXD2B,15966,0.9398224542229582,0.01669951342046261,0.015507708303630352,0.4700375000635783,0.020593662355606668,4,1.970163106918335,1.5705422163009644,0.0,2.1309618949890137,NNT,nicotinamide nucleotide transhydrogenase,"This gene encodes an integral protein of the inner mitochondrial membrane. The enzyme couples hydride transfer between NAD(H) and NADP(+) to proton translocation across the inner mitochondrial membrane. Under most physiological conditions, the enzyme uses energy from the mitochondrial proton gradien",False,0.4
