split,n_samples,n_anomalies,pct_anomalies,n_errors,errors_caught,error_catch_rate,calibrated_threshold,learned_weights
val,1652,146,8.837772397094431,73,49,67.12328767123287,0.753061224489796,"{'confidence': 1.7230484913961355, 'margin': 3.7905660328753017, 'distance': 2.5121092896958475, 'isolation': -1.2613702903516615, 'lof': -1.4368265819877166, 'entropy': 1.1790200192974236}"
train,7709,461,5.980023349331949,143,139,97.2027972027972,0.753061224489796,"{'confidence': 1.7230484913961355, 'margin': 3.7905660328753017, 'distance': 2.5121092896958475, 'isolation': -1.2613702903516615, 'lof': -1.4368265819877166, 'entropy': 1.1790200192974236}"
test,1653,134,8.106473079249849,62,48,77.41935483870968,0.753061224489796,"{'confidence': 1.7230484913961355, 'margin': 3.7905660328753017, 'distance': 2.5121092896958475, 'isolation': -1.2613702903516615, 'lof': -1.4368265819877166, 'entropy': 1.1790200192974236}"
